disciplina,area,durata_anni,territorio,tipo_territorio,contratti_annui_totali,contratti_quinquennio_2026_2031,tasso_abbandono_stimato,nuovi_specialisti_effettivi_5anni,stock_medici_attivi,quota_pensionandi_60plus,pensionamenti_stimati_2026_2031,delta_demografico_target_pct,target_demografico,qol_score_base,notti_mese,reperibilita_mese,ore_settimanali,classe_rischio_legale,indice_burnout,rep_lorda_annua,rep_netta_annua,rep_privato_stimato
Dermatologia e venereologia,Medica,4,Friuli-Venezia Giulia,Regione,3,15,0.01,15,19,0.38,7,-0.45,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Lazio,Regione,12,60,0.01,59,92,0.38,35,-0.4,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Liguria,Regione,3,15,0.01,15,24,0.399,10,0.13,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Lombardia,Regione,21,105,0.01,104,162,0.361,58,0.82,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Marche,Regione,3,15,0.01,15,24,0.38,9,-0.81,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Molise,Regione,1,5,0.01,5,5,0.399,2,-3.24,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Piemonte,Regione,9,45,0.01,45,69,0.38,26,-0.21,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Puglia,Regione,8,40,0.01,40,62,0.38,24,-2.15,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Sardegna,Regione,3,15,0.01,15,25,0.38,10,-3.2,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Sicilia,Regione,10,50,0.01,50,77,0.399,31,-1.88,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Toscana,Regione,8,40,0.01,40,59,0.38,22,-0.3,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Umbria,Regione,2,10,0.01,10,14,0.38,5,-1.16,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Valle d'Aosta,Regione,0,0,0.01,0,2,0.38,1,-0.55,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Veneto,Regione,10,50,0.01,50,78,0.361,28,-0.1,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,P.A. Bolzano,Regione,1,5,0.01,5,9,0.361,3,1.62,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,P.A. Trento,Regione,1,5,0.01,5,9,0.361,3,1.32,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Ematologia,Medica,4,Italia (Nazionale),Nazionale,204,1020,0.05,969,1450,0.38,551,8.5,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Abruzzo,Regione,4,20,0.05,19,31,0.38,12,9.03,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Basilicata,Regione,2,10,0.05,10,13,0.399,5,8.52,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Calabria,Regione,6,30,0.05,28,45,0.399,18,9.5,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Campania,Regione,19,95,0.05,90,137,0.38,52,12.63,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Emilia-Romagna,Regione,15,75,0.05,71,110,0.38,42,9.01,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
